Size,Traditional,Divide & Conquer, Strassen
256x256,14121520,1817329910,676747245
2x2,235,585,285
4x4,315,6445,4710
8x8,790,55040,38445
16x16,3680,441990,278765
32x32,23040,3571845,1957240
64x64,170645,28420820,13693135
128x128,1355920,226830625,96727485
256x256,13998665,1820465920,676876465
2x2,220,620,275
4x4,335,6760,4750
8x8,795,54415,38265
16x16,3670,441185,281020
32x32,23010,3573480,1947895
64x64,169745,28361495,13688270
128x128,1352650,226361440,96578575
256x256,13821965,1815289560,677498445
2x2,250,560,285
4x4,315,6365,4745
8x8,795,55140,38470
16x16,3680,440400,277150
32x32,33415,3518210,1949710
64x64,169235,28248610,13793930
128x128,1373545,226344040,96662895
256x256,13899055,1813642305,676987670
2x2,230,525,265
4x4,325,6425,4730
8x8,790,54285,38285
16x16,3665,442745,274580
32x32,23075,3518470,1952695
64x64,170265,28493075,13757020
128x128,1353615,226625725,96612145
256x256,13754960,1816248465,677226835
2x2,240,580,300
4x4,325,6480,4805
8x8,785,54335,38855
16x16,3720,446930,283375
32x32,23305,3614845,1976120
64x64,173095,28286850,13652240
128x128,1349725,226546490,96545365
256x256,13920935,1813839575,676025850
2x2,230,605,335
4x4,315,6655,4725
8x8,770,54380,38585
16x16,3670,444130,277625
32x32,23390,3575485,1967090
64x64,170630,28282100,13740455
128x128,1366125,226660125,96400680
256x256,14202980,1812848745,676505025
2x2,225,575,290
4x4,330,6360,4755
8x8,780,54885,38790
16x16,3705,443395,278980
32x32,23180,3540675,1940510
64x64,169690,28197935,13552550
128x128,1352385,226443295,96275845
256x256,13726150,1813527105,676326695
2x2,280,730,335
4x4,325,6545,4710
8x8,780,53980,37875
16x16,3615,439835,275980
32x32,23000,3566245,1945940
64x64,171695,28326200,13654730
128x128,1352390,227163565,96394025
256x256,13791145,1812811415,676971875
2x2,245,585,295
4x4,315,6370,4815
8x8,780,54355,38030
16x16,3630,442415,278590
32x32,22810,3536785,1950355
64x64,173925,28259700,13628480
128x128,1361435,226582675,96276750
256x256,13694170,1813919725,677094760
2x2,210,570,305
4x4,330,6395,4770
8x8,780,54720,38590
16x16,3610,462800,279270
32x32,23175,3517520,1950495
64x64,170020,28324890,13644880
128x128,1347785,226691045,96335435
256x256,13049235,1814429030,677313060
2x2,225,580,290
4x4,325,6410,4875
8x8,780,54315,37980
16x16,3895,443735,278045
32x32,22850,3528000,1986085
64x64,170335,28463430,13744265
128x128,1368655,227850295,97212140
256x256,13099160,1814587085,676645920
2x2,225,615,265
4x4,315,6420,4725
8x8,780,54480,37650
16x16,3640,436965,275705
32x32,22740,3524175,1942325
64x64,169890,28220680,13643595
128x128,1353330,226597225,96365485
256x256,12907090,1813327990,676095935
2x2,235,615,295
4x4,310,6395,4740
8x8,775,54640,38230
16x16,3810,440525,275865
32x32,23120,3549590,1961210
64x64,171055,28305675,13686720
128x128,1371110,226671930,96416485
256x256,13140890,1813407875,676372295
2x2,225,625,285
4x4,325,6415,4730
8x8,775,68450,38120
16x16,3685,438005,272370
32x32,22870,3544275,1985660
64x64,171820,28375550,13671945
128x128,1350775,227075745,96506660
256x256,13048250,1813324895,675937980
2x2,210,570,270
4x4,305,6580,4730
8x8,825,54705,38250
16x16,3640,443260,277905
32x32,23030,3545340,1955085
64x64,171095,28291155,13780725
128x128,1379355,227009475,96631070
256x256,13052425,1813708100,676224985
2x2,220,560,280
4x4,335,6365,4670
8x8,770,55045,37595
