Size,Traditional,Divide & Conquer, Strassen
256x256,13419960,1804602195,673390100
2x2,215,720,280
4x4,310,6335,4670
8x8,785,53580,38070
16x16,3675,439130,275630
32x32,22780,3511895,1938315
64x64,169725,28261385,13657635
128x128,1345375,224660255,96058165
256x256,13891365,1823061610,674110060
2x2,210,625,290
4x4,315,6505,4715
8x8,760,53965,37585
16x16,4080,440070,275570
32x32,22845,3503750,1942980
64x64,170310,28281680,13645190
128x128,1357655,224711195,96032745
256x256,17188875,1804606595,673822610
2x2,215,570,275
4x4,310,6375,4720
8x8,790,53860,38115
16x16,3640,437230,274640
32x32,22760,3514245,1945165
64x64,169155,28270430,13653230
128x128,1353445,224798610,96095685
256x256,13876755,1805136380,673454830
2x2,205,555,260
4x4,310,6415,4740
8x8,770,54130,38555
16x16,3650,441425,274630
32x32,22885,3504890,1940260
64x64,169315,28183770,13811800
128x128,1378035,224819780,95975925
256x256,13395575,1804098050,673739860
2x2,210,650,290
4x4,315,6365,4825
8x8,795,54710,38090
16x16,3745,438885,274440
32x32,22795,3520170,1943745
64x64,170055,28129030,13681350
128x128,1353425,224580435,95847825
256x256,13859905,1805112270,673642105
2x2,215,590,295
4x4,310,6440,4710
8x8,770,54665,38080
16x16,3700,441160,277135
32x32,23015,3511270,1966520
64x64,168710,28223095,13651155
128x128,1342180,224687405,96065725
256x256,13739930,1804367435,673666470
2x2,220,610,265
4x4,310,6385,4715
8x8,765,53630,37985
16x16,3640,437780,274580
32x32,23050,3523150,1949695
64x64,170030,28202685,13698680
128x128,1355660,224626540,95896605
256x256,13702190,1804670795,673330260
2x2,245,630,305
4x4,310,6355,4715
8x8,775,54635,38450
16x16,3680,444340,273815
32x32,22900,3532730,1947245
64x64,169800,28249645,13676080
128x128,1345975,224585855,95980250
256x256,13203820,1804019210,673554795
2x2,230,605,270
4x4,315,6510,4720
8x8,770,55060,38290
16x16,3675,440820,276465
32x32,22985,3519610,1973925
64x64,171330,28260800,13670285
128x128,1352785,224525345,95821505
256x256,13631450,1805942590,673911270
2x2,210,625,285
4x4,305,6360,4720
8x8,760,54040,37990
16x16,3930,439095,276865
32x32,22900,3507505,1945830
64x64,171025,28170425,13671550
128x128,1348840,225890680,95983365
256x256,13082425,1804151550,673599715
2x2,215,620,275
4x4,315,6340,4725
8x8,775,53985,38015
16x16,3600,442030,275745
32x32,22945,3534580,1949640
64x64,169745,28265000,13673130
